차시,번호,단어,뜻
12,40,gross ,"<형> 총계의, 총체의, 엄청난, 심한"
12,41,disclose ,"<동> 밝히다, 폭로하다, 털어놓다"
12,42,propose ,"<동> 제안[제의]하다, 계획하다, 청혼하다"
12,43,hide ,"<동> 숨기다, 감추다, 은닉하다"
12,44,imply ,"<동> 암시[시사]하다, 내포하다, 의미하다"
12,45,prime ,"<형> 주된, 주요한, 최고의"
12,46,doom ,"<명> 운명, 죽음  <동>  ~할 운명이다"
12,47,trial ,"<명> 시도, 시험, 실험, 재판"
12,48,literary ,"<형> 문학의, 문학적인"
12,49,defeat ,"<동> 패배[좌절]시키다  <명> 패배, 좌절"
12,50,narrow ,"<형> 좁은, 한정된, 편협한  <동> 좁히다"
13,1,organize ,"<동> 조직하다, 편성하다, 정리하다"
13,2,straightforward ,"<형> 쉬운, 간단한, 똑바른, 솔직한"
13,3,poet ,<명> 시인
13,4,recognize ,"<동> 인정하다, 인지하다, 알아보다"
13,5,severe ,"<형> 심각한, 심한, 엄격한"
13,6,surface ,"<명> 표면, 지면, 수면, 외부, 외관"
13,7,replace ,"<동> 대신[대체]하다, 바꾸다, 교환하다"
13,8,request ,"<명> 요청, 신청  <동> 요청하다, 부탁하다"
13,9,aspect ,"<명> 측면, 양상, 국면, 견해"
13,10,delay ,"<동> 미루다, 연기하다  <명> 지연, 연기"
13,11,loosely ,"<부> 느슨하게, 헐겁게"
13,12,magnificent ,"<형> 장대한, 화려한, 근사한"
13,13,pour ,"<동> 붓다, 따르다, 쏟다"
13,14,breathe,"숨을 쉬다, 호흡하다"
13,15,kin ,"<명> 친족, 동족  <형> 친족의, 동족의"
13,16,vote ,"<명> 투표, 표결, 표  <동> 투표하다"
13,17,competent ,"<형> 유능한, 능력 있는"
13,18,construct ,<동> 건설구성하다  <명> 건축구조물
13,19,remedy ,<명> 치료(법)  <동> 치유[치료]하다
13,20,aim ,"<명> 목표, 목적  <동> 목표로 하다, 겨누다"
13,21,stuff ,"<명> 것(들), 물건, 재료  <동> 채워 넣다"
13,22,regular ,"<형> 규칙적인, 정기적인, 정규의, 보통의"
13,23,fuse ,"<동> 융합하다, 녹이다"
13,24,section ,"<명> 부분, 구획, 영역"
13,25,amazing ,"<형> 놀라운, 굉장한"
13,26,mythology ,<명> 신화(학)
13,27,hospitality ,"<명> 환대, 접대, 수용력"
13,28,compassion ,"<명> 동정(심), 연민"
13,29,hesitant ,"<형> 주저하는, 망설이는"
13,30,ban ,"<명> 금지(법)  <동> 금하다, 금지하다"
13,31,recession ,"<명> 경기 후퇴, 불경기"
13,32,wage ,"<명> 임금, 급료  <동> (전쟁 등을) 행하다"
13,33,warranty ,"<명> 보증, (품질) 보증서, 근거"
13,34,relief ,"<명> 안도, 안심, 경감, 구호(품)"
13,35,reference ,"<명> 언급, 참조, 참고 (문헌)"
13,36,plenty ,"<명> 많음, 풍요, 다량  <형> 많은, 충분한"
13,37,insure ,"<동> 보험에 들다, 보장하다, 보증하다"
13,38,lengthy ,"<형> 긴, 오랜, 장황한, 지루한"
13,39,doctrine ,"<명> 교리, 원칙, 주의"
13,40,wreck ,"<명> 난파(선), 잔해  <동> 난파시키다"
13,41,pronounce ,"<동> 발음하다, 선언하다, 표명하다"
13,42,lie ,"<동> 눕다, 있다, 거짓말하다  <명> 거짓말"
13,43,tone ,"<명> 음조, 음색, 어조, 억양, 분위기"
13,44,extraordinary ,"<형> 비범한, 비상한, 엄청난"
13,45,tailor ,"<명> 재단사  <동> 조정하다, 맞추다"
13,46,frame ,"<명> 틀, 구조  <동> 구성하다"
13,47,invisible ,<형> 눈에 보이지 않는  <명> 눈에 보이지 않는 것
13,48,aggressively ,"<부> 공격적으로, 적극적으로"
13,49,wrinkle ,<명> 주름(살)  <동> 주름을 잡다
13,50,degrade ,"<동> 저하[분해]시키다, 지위를 떨어뜨리다"
14,1,nervous ,"<형> 긴장하는, 불안해[초조해]하는, 신경의"
14,2,specific ,"<형> 특정한, 구체적인, 독특한"
14,3,steady ,"<형> 꾸준한, 한결같은, 안정된, 확고한"
14,4,costume ,"<명> 의상, 복장"
14,5,introduce ,"<동> 소개하다, 도입하다, 들여오다"
14,6,characteristic ,"<형> 특징적인  <명> 특징, 특성"
14,7,accept ,"<동> 받아들이다, 인정하다, 수락하다"
14,8,notice ,"<동> 알아채다, 주목[통지]하다  <명> 알아챔, 공지"
14,9,constant ,"<형> 끊임없는, 지속적인, 불변의, 한결같은"
14,10,quality ,"<명> (품)질, 양질, 자질  <형> 양질의"
14,11,adapt ,"<동> 적응하다[시키다], 조정[개작]하다"
14,12,settle ,"<동> 정착하다, 안정시키다, 해결하다"
14,13,wholesaler  ,"<명> 도매업자, 도매상"
14,14,refuse ,"<동> 거절하다, 거부하다"
14,15,exercise ,"<동> 운동[행사]하다  <명> 운동, 연습, 행사"
14,16,indulge ,"<동>  ~에 빠지다, 충족[만족]시키다"
14,17,uniform ,"<형> 획일적인, 동일한, 한결같은"
14,18,conscience ,"<명> 양심, 의식"
14,19,profound ,"<형> 심오한, 깊은, 엄청난"
14,20,rehearse ,"<동> 예행연습[시연]하다, 되풀이하다"
